code,fy,eps,bps,roe,debt,op_margin,net_margin,op_profit,revenue,dps
047810,202312,2298.0,16388.0,14.81,340.73,6.48,5.8,2475.0,38193.0,500.0
047810,202412,1765.0,17500.0,10.42,364.66,6.63,4.7,2407.0,36337.0,500.0
047810,202512,1907.0,18776.0,10.51,446.57,7.28,5.07,2692.0,36964.0,500.0
005830,202312,24556.0,170486.0,15.66,482.7,11.31,8.82,22350.0,197613.0,5300.0
005830,202412,26152.0,154832.0,18.98,608.17,11.11,8.49,24249.0,218350.0,6800.0
005830,202512,25263.0,179423.0,17.75,576.91,10.34,7.77,23840.0,230479.0,7600.0
078930,202312,13734.0,142065.0,10.05,95.45,14.33,6.08,37218.0,259785.0,2500.0
078930,202412,5988.0,148685.0,4.12,89.84,12.19,3.42,30772.0,252500.0,2700.0
078930,202512,8434.0,155303.0,5.55,86.04,11.66,4.12,29361.0,251841.0,3000.0
003230,202312,16761.0,75732.0,24.81,102.9,12.37,10.61,1475.0,11929.0,2100.0
003230,202412,36106.0,109524.0,39.37,92.6,19.94,15.7,3446.0,17280.0,3300.0
003230,202512,51697.0,166650.0,37.59,72.74,22.29,16.53,5242.0,23518.0,4800.0
307950,202312,5024.0,57613.0,9.01,78.55,5.92,4.58,1814.0,30650.0,1430.0
307950,202412,6228.0,62189.0,10.4,93.55,6.04,4.72,2244.0,37136.0,1780.0
307950,202512,6654.0,67357.0,10.27,92.31,6.0,4.39,2553.0,42521.0,1900.0
071050,202312,11480.0,143392.0,8.81,1035.59,3.93,3.39,8204.0,208934.0,2650.0
071050,202412,16883.0,165262.0,11.54,1021.98,6.54,5.7,11997.0,183393.0,3980.0
071050,202512,32808.0,205667.0,18.66,1025.35,12.05,10.4,23453.0,194661.0,8690.0
003490,202312,2873.0,25793.0,11.46,209.64,11.11,7.01,17901.0,161118.0,750.0
003490,202412,3567.0,28356.0,13.17,328.82,11.81,7.73,21102.0,178707.0,750.0
003490,202512,2111.0,29659.0,7.28,339.88,4.42,2.57,11136.0,252255.0,750.0
323410,202312,744.0,12843.0,6.0,790.66,19.18,14.23,4785.0,24940.0,150.0
323410,202412,923.0,13727.0,6.95,860.31,20.6,14.94,6069.0,29456.0,360.0
323410,202512,1007.0,14166.0,7.23,1032.02,21.04,15.56,6494.0,30863.0,460.0
259960,202312,12221.0,120194.0,11.16,15.86,40.2,31.09,7680.0,19106.0,
259960,202412,27162.0,150187.0,21.1,15.97,43.64,48.07,11825.0,27098.0,
259960,202512,15438.0,157747.0,10.6,31.31,31.7,22.06,10544.0,33266.0,2240.0
443060,202312,3778.0,5999.0,71.59,173.63,14.08,10.56,2015.0,14305.0,
443060,202412,5302.0,17255.0,44.98,48.96,15.57,13.06,2717.0,17455.0,3150.0
443060,202512,6013.0,18396.0,33.73,54.27,17.66,13.6,3501.0,19827.0,3950.0
005940,202312,1587.0,21757.0,7.5,644.71,7.0,5.33,7258.0,103712.0,800.0
005940,202412,1976.0,23474.0,8.73,668.87,8.98,6.84,9011.0,100342.0,950.0
005940,202512,2888.0,25187.0,11.76,783.5,10.37,7.53,14206.0,136989.0,1300.0
006260,202312,13539.0,172545.0,9.63,170.29,3.67,2.33,8997.0,244807.0,1600.0
006260,202412,7371.0,167908.0,5.09,198.32,3.9,1.42,10729.0,275447.0,1650.0
006260,202512,8458.0,182946.0,5.64,225.47,3.3,1.52,10526.0,318700.0,2500.0
028050,202312,3846.0,17721.0,24.45,136.53,9.35,6.55,9931.0,106249.0,
028050,202412,3862.0,21591.0,19.65,157.03,9.75,6.41,9716.0,99666.0,660.0
028050,202512,3150.0,24187.0,13.76,125.8,8.77,7.18,7921.0,90288.0,790.0
047050,202312,3834.0,35869.0,13.36,150.84,3.51,2.05,11631.0,331328.0,1000.0
047050,202412,2925.0,38397.0,8.14,135.89,3.59,1.56,11578.0,322610.0,1550.0
047050,202512,3491.0,39358.0,9.27,140.03,3.6,1.97,11653.0,323736.0,1850.0
