code,name,cap,price,per,pbr,eps,bps,div,cns_per,roe,debt,op_margin,op_growth,fy
002380,KCC,4068700000000.0,469500.0,1.14,0.32,413917.0,1498027.0,3.17,2.37,23.51,114.76,6.59,-0.09233708342177882,202512
082740,한화엔진,4026300000000.0,48300.0,18.39,6.2,2623.0,7788.0,nan,20.26,36.6,204.92,9.49,0.8195804195804195,202512
004170,신세계,3830000000000.0,425000.0,23.02,0.66,17615.0,616162.0,1.28,9.23,0.32,140.91,6.93,0.0062893081761006275,202512
161890,한국콜마,3816900000000.0,145800.0,20.65,3.81,7832.0,42430.0,0.53,19.51,14.69,107.38,8.8,0.23568849922640545,202512
001040,CJ,3807600000000.0,126600.0,99.09,0.8,1317.0,162243.0,2.53,13.24,2.69,176.0,5.62,-0.0018165304268846771,202512
018880,한온시스템,3581700000000.0,3480.0,nan,0.87,-6.0,4008.0,nan,14.02,-6.0,168.14,2.48,1.831413612565445,202512
103590,일진전기,3462000000000.0,75100.0,24.62,5.29,2949.0,13721.0,0.69,19.08,19.08,159.23,7.4,0.8971141781681304,202512
192820,코스맥스,3438900000000.0,283000.0,18.66,5.32,16236.0,56990.0,1.09,20.31,23.86,247.1,8.16,0.11630558722919049,202512
036460,한국가스공사,3424800000000.0,36900.0,6.03,0.28,6152.0,134750.0,3.11,2.94,1.23,396.6,5.88,-0.3003928880601985,202512
009420,한올바이오파마,3374700000000.0,64300.0,nan,20.33,-477.0,3178.0,nan,-1153.57,-3.37,39.3,-0.59,-5.5,202512
111770,영원무역,3292300000000.0,73400.0,5.57,0.7,13333.0,106119.0,2.83,5.44,12.66,39.25,12.66,0.6299112801013942,202512
022100,포스코DX,3253500000000.0,21150.0,101.9,5.76,210.0,3715.0,0.58,nan,9.53,45.73,5.62,-0.4458715596330275,202512
006360,GS건설,3179400000000.0,36900.0,24.36,0.64,1525.0,57609.0,1.35,21.04,2.03,234.2,3.52,0.5307692307692307,202512
012750,에스원,3172900000000.0,85500.0,20.77,1.64,4020.0,50837.0,3.83,18.73,10.45,38.47,8.12,0.12141491395793502,202512
011780,금호석유화학,3167300000000.0,123600.0,7.21,0.47,17465.0,265467.0,1.35,6.52,4.74,35.67,3.93,-0.003665689149560114,202512
035250,강원랜드,3164200000000.0,14540.0,9.58,0.75,1544.0,19725.0,6.42,10.14,8.11,22.21,15.93,-0.17669699090272917,202512
085620,미래에셋생명,3136200000000.0,25950.0,28.61,1.05,811.0,22038.0,nan,nan,5.22,1244.75,3.75,0.592956592956593,202512
251270,넷마블,3114300000000.0,36300.0,7.98,0.5,4695.0,74517.0,2.34,6.3,4.15,47.36,12.43,0.6349721706864564,202512
031210,서울보증보험,3103600000000.0,42700.0,10.13,0.62,4390.0,71321.0,6.45,nan,5.18,81.11,13.62,0.3432248838040759,202512
028670,팬오션,3095200000000.0,5620.0,9.15,0.49,633.0,11826.0,2.59,6.58,5.3,89.63,9.05,0.04393039049236003,202512
302440,SK바이오사이언스,3055900000000.0,38450.0,nan,1.74,-1080.0,22375.0,nan,nan,-3.2,45.07,-18.96,nan,202512
008930,한미사이언스,3043400000000.0,42100.0,20.16,2.84,2207.0,15661.0,0.67,nan,13.13,55.24,10.22,0.4024266936299292,202512
336260,두산퓨얼셀,2973400000000.0,45200.0,nan,12.4,-2308.0,3661.0,nan,-41.31,-30.66,226.12,-23.23,nan,202512
